Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Gambia,Female genital mutilation protests,24-mar.,Partly free,Lawmakers voted to advance a bill to repeal the state's 2015 ban on female genital mutilation. The practice has increased in frequency in recent years—despite being outlawed and ongoing campaigns to end it.,"Some protesters, particularly Muslims, expressed support for the practice and the need to repeal the ban, claiming it is a religious practice. Others expressed opposition to the bill that would lift the ban on the practice.",">1,000","Human rights groups, Muslims, women, Fatou Baldeh, Abdoulie Fatty",1 day in March 2024; 1 day on July 2024,"In July 2024, Parliament voted to keep the ban on female genital mutilation.",Thousands,Banjul,0,0,0,0,X,0,0,0,0,"100,00%"
Georgia,Foreign agents bill protests,23-mar.,Partly free,"Parliament introduced a bill that would require non-governmental and media organizations that receive more than 20 percent of their funding from abroad to declare themselves as ""foreign agents,"" or face fines and possible imprisonment. In 2024, the Georgian Dream party once again proposed a law forcing NGOs that receive more than 20 percent of their funding from abroad to be registered as ""carrying the interests of foreign power.""","Fears of rising authoritarianism and Russian influence in Georgia. Reject ties to Russia and demand a ""European future.""","<100,000","General public; young people; United National Movement; Salome Zourabichvili; foreign ministers of Latvia, Estonia, Lithuania, and Iceland",1 week in 2023; 4 months from April 2024 to July 2024,"Parliament retracted the foreign agents bill in 2023. On April 3, 2024, Georgian Dream announced plans to bring back the bill but replace the label ""foreign agent"" with ""[an] organization carrying the interests of a foreign power."" Parliament voted to pass the law on its third reading on May 14. On May 18, President Salome Zourabichvili vetoed the bill. On May 28, Parliament voted eighty-four to four to override Zourabichvili's veto—with the opposition abstaining from the vote in protest. On June 2024, the bill was signed into law.",Tens of thousands,Tbilisi,0,0,X,0,0,0,X,0,0,"<100,000"
New Zealand,Farmer protest,22-Oct,Free,The government introduced plans to tax greenhouse gas emissions from livestock.,Concerns over future economic viability of farming profession; frustrations with perceieved unfair targeting of agriculture in climate policy.,">1,000",Farmers.,1 day,"In June 2024, the New Zealand government scrapped the proposal and announced that they would remove agriculture from their plans to lower greenhouse gas emissions.",Thousands,Wellington,0,X,X,0,X,0,0,0,0,"100,00%"
Taiwan,Bluebird Movement against parliamentary reforms,24-May,Free,"The Kuomintang and Taiwan People's Party passed legislation in Parliament giving lawmakers power to ask the military, private companies, or individuals to disclose information deemed relevant by parliamentarians. The law gives Parliament power to punish those who fail to comply with these requests. It also criminalizes contempt of Parliament by government officials and requires the president to give regular reports to Parliament and answer lawmakers' questions. Several Kuomintang senior officials have visited China this year to keep open lines of communication as China refuses to talk with President Lai Ching-te or the Democratic Progressive Party, claiming they are ""separatists."" Members and supporters of the Democratic Progressive Party fear collusion between the Kuomintang and China—although the Kuomintang denies being pro-China.","Supporters of the Democratic Progressive Party protested against the bill, which they say was railroaded through the voting process by lawmakers and lacks adequate checks and balances to prevent abuse. They say the bill could undermine national security, as it would force government officials to disclose critical information of value to China.",">10,000",Democratic Progressive Party supporters,2 weeks,"Lai and the cabinet rejected the bill and sent it back for constitutional review. The opposition-led Taiwanese parliament pushed the bill forward and passed it on May 28, 2024.",Tens of thousands,Taipei,0,0,X,0,0,0,0,0,0,"1000,00%"
South Korea,Doctors' protests,Feb-24,Free,"President Yoon Suk Yeol's government announced that they would increase medical school admissions by about 2,000 in the 2025 academic year, with the aim of eventually adding 10,000 new spots by 2035 in order to remedy doctor shortages.","Two-thirds of the nation's residents and medical interns walked off the job in February 2024, claiming that the change is unnecessary and will undermine the finances of the national health insurance plan. They also criticized the government for not consulting existing doctors when making this plan.",">9,000","Doctors, trainee doctors, medical interns",Active,"The government announced it will send physicians from the nation's military to hospitals affected by the walkout. It also announced it will suspend the medical licenses of those who do not return to work by February 29. In early March 2024, the government began the process to suspend the medical licenses of thousands of doctors who walked off the job. The prime minister announced on March 8, 2024, that the government plans to improve pay and working conditions for young doctors. On July 2024, the government announced that it would not suspend the license of striking junior doctors to encourage them to return to work.",Thousands,Seoul,X,X,0,0,X,0,0,X,0,"900,00%"
France,New Caledonia Kanak riots against electoral reform,24-May,Free,"Lawmakers in Paris backed a constitutional change that would give anyone over the age of ten on the Pacific archipelago of New Caledonia the right to vote in provincial elections. This would add more than 25,000 people to the voter roll, which has been frozen since 1998—which many say is undemocratic. Indigenous Kanak separatists say this will dilute their political power and benefit pro-France politicians.",Oppose the expansion of voter eligibility.,">1,000",Kanak community members,Active,"France has deployed troops to try to stop the riots and restore order. Australia and New Zealand have offered military planes to evacuate tourists. French President Emmanuel Macron has suspended voting reform in New Caledonia to allow “a return to order.” In June 2024, authorities detained seven pro-independence activists and sent them to France. On September 2024, French security forces killed two Kanaks, raising the death toll to thirteen people.",Thousands,Paris,X,0,X,0,0,0,X,0,0,"100,00%"
Portugal,Police protest,24-jan.,Free,"In November 2023, Prime Minister António Costa approved hazard pay raises for the criminal investigation police. The raise amounts to 700 euros a month, but was not given to he Public Security Police or the National Republican Guard.",Public Security Police and National Republican Guard demand the same hazard pay raise given to the criminal investigation police.,">1,000","Public Security Police, National Republican Guard",4 months,No policy/leadership change in response to the protests.,Thousands,Lisbon,0,X,0,0,0,0,0,X,0,"100,00%"
Slovakia,Protest against Fico's criminal law changes,23-Dec,Free,"Prime Minister Robert Fico has fast-tracked criminal law changes, including abolishing a special prosecutor's office dedicated to high-profile corruption, limiting protection for whistleblowers, and reducing criminal sentences for financial crimes.",Protesters claim these changes will threaten democracy and justice.,">10,000",Opposition,5 months,The European Commission warned it will take action if Slovakia violates EU laws. The president urged lawmakers to reconsider the reforms in January 2024.,Tens of thousands,Bratislava,0,X,X,X,0,0,0,X,0,"1000,00%"
India,Punjab farmers' protest,Feb-24,Partly free,"Farmers claim that the cost of cultivation has jumped in recent years, while their income has remained constant, making farming a loss-making enterprise.",Farm union leaders seek legal guarantees of more state support for farmers and minimum purchase prices for crops. Farmers also insist that the government ensure at least a 50 percent profit for them over their overall cost of production.,">10,000",Punjab farmers,Active,"The Supreme Court formed a judicial committee to facilitate discussion with the protesting farmers. Agriculture and Farmers Welfare Minister Gurmeet Singh Khudian offered government jobs to relatives of thirty farmers who had been killed in the protest, as well as to eight more youths.",Tens of thousands,New Delhi,X,X,0,0,0,0,X,X,0,"1000,00%"
Guinea,Power cuts protest,mar.-24,Not free,"Months-long energy crisis leading to repeated power cuts. On March 13, 2024, power cuts in Conakry plunged the capital into darkness.",Express frustrations with the cuts to power.,">1,000",General public,1 month,"After two children were killed as protesters clashed with security forces, Interim President Mamady Doumbouya told the press, ""Those responsible for this situation owe us an explanation and everyone must take their share of responsibility,"" on March 14, 2024. On March 15, 2024, Doumbouya dismissed the head of Guinea's state energy company along with his two deputies.",Thousands,Conakry,0,X,0,0,X,0,X,0,0,"100,00%"
Hungary,Protests against child sex abuse,24-Feb,Partly free,Hungarian President Katalin Novák pardoned a man convicted of helping cover up sexual abuse in a children's home.,"Protesters demanded that Novák and former justice minister Judit Varga quit. After they resigned in early February, protests continued calling for changes to Hungary's child protection system and denouncing the government's handling of the scandal. Protesters also rallied against Prime Minister Viktor Orbán. Thousands protested in Budapest in April 2024 demanding reforms to child-protection laws.",">50,000","General public, opposition; Peter Magyar",3 months,Novák and Varga resigned.,Tens of thousands,Budapest,0,0,X,X,X,0,0,0,0,"5000,00%"
Jordan,Protest against peace treaty with Israel,mar.-24,Not free,"Ongoing Israel-Hamas war in Gaza, which particularly resonates with Jordan's Palestinian diaspora.",Demand an end to Jordan's 1994 peace treaty with Israel. Protesters are also upset that the government helped intercept Iranian missiles headed for Israel in April 2024.,">1,000","Palestinians, general public",1 month,"No policy/leadership change in response to protests. The government has ramped up arrests and harassment of demonstrators protesting the ongoing Israel-Hamas war, and police have clashed with demonstrators opposed to the peace treaty.",Thousands,Amman,0,0,X,0,0,0,X,0,0,"100,00%"
Afghanistan,Protest against pension system elimination,24-Apr,Not free,"The Taliban government abolished the country's pension system amid an economic crisis. The Taliban has promised to create an Islamic system in the country and used this promise to justify ending pensions because they involve interest, which the Taliban says is forbidden by Islam.","Demand pensions be restored, as retirees claim they cannot survive without state assistance.",>10,Retired civil servants and members of the armed forces,1 month,No policy or leadership change in response to the protests.,Dozens,Kabul,0,X,X,0,0,0,0,0,0,"1000,00%"
Niger,Protest against U.S. military presence,24-Apr,Not free,The United States has an air base in the northern city of Agadez and over a thousand troops in Niger. The United States has provided training to Niger's forces for fighting insurgents and the countries have undertaken multiple joint counterinsurgency operations. The United States had already said it would begin plans to withdraw troops from the country before the protests began. Russian troops arrived the week before protests broke out to provide security to the country's junta.,Express frustrations with the U.S. military's security provisions. Demand U.S. forces leave the country immediately.,>100,General public,2 weeks,"The United States is currently withdrawing troops, with plans to be out of the country by mid-September 2024. Since the United States began to withdraw, Russian troops have arrived in Niger.",Hundreds,Niamey,0,0,X,0,0,0,0,0,0,"10000,00%"
Armenia,Protest against ceding territory to Azerbaijan,24-Apr,Partly free,"On April 19, 2024, the government announced a border delimitation agreement which will cede four territories in Armenia near Azerbaijan's Qazax region to Azerbaijan. These villages were part of Azerbaijan during the Soviet era but have been controlled by Armenia since the 1990s.","Protest against deal to cede territory to Azerbaijan, as many Armenians see the country as a political rival and threat. Protesters also call for the resignation of Armenian Prime Minister Nikol Pashinyan because of his acceptance of the deal ceding border villages to Azerbaijan.",">1,000",General public; Archbishop Bagrat Galstanyan,3 months,No policy or leadership change in response to the protests. Protesters scuffled with riot police in Yerevan and dozens were arrested in May 2024.,Thousands,Yerevan,0,0,X,0,0,0,X,0,0,"100,00%"
Tunisia,2024 police brutality protest,24-May,Partly free,"Facing protests against President Kais Saied and demands for a free and fair election, police stormed the bar association's headquarters on May 13, 2024, and arrested Mahdi Zagrouba—who has criticized Saied—after arresting another lawyer, Sonia Dahmani, days prior. The bar association and human rights groups reported that Zagrouba was tortured during his detention and that he was suffering from severe bruises and traces of violence. The Interior Ministry denies the accusations of torture. Two journalists were also arrested.","Lawyers protested against the government and police brutality, called for democracy, and demanded, ""take your hands off journalists and lawyers.""",>100,Lawyers,1 day,No policy/leadership change in response to protest.,Hundreds,Tunis,X,0,X,0,0,0,0,0,0,"10000,00%"
Pakistan,Protest for the release of Imran Khan,24-May,Partly free,"Former prime minister Imran Khan has been in jail since January 2024 on charges of corruption. His party, Pakistan Tehreek-e-Insaf, remains popular. His supporters and legal team claim that his rights were violated during his trial.",Demand the release of Imran Khan.,">1,000",Pakistan Tehreek-e-Insaf supporters,Active (intermittently since May 2024),"Though Pakistan's courts had acquitted Khan of his charges by July, authorities issued new arrest warrants relating to the May 2023 protests to keep Khan in jail. On September 8, the president approved a law that banned all demonstrations in Islamabad and severely restricted demonstrations in other regions of the country. On October 21, Parliament passed a constitutional amendment on the appointment of Supreme Court judges, which was widely seen as a way to reduce the power of the courts after they had acquitted Khan.",Hundreds,Islamabad,X,0,X,0,0,0,0,0,0,"100,00%"
Tunisia,Pro-democracy protests,24-May,Partly free,"Nearly three years after President Kais Saied's 2021 ""self-coup,"" the economy has stagnated. Additionally, a wave of arrests has targeted journalists, lawyers, activists, and members of the opposition, including Sonia Dahmani, a lawyer popular for her fierce criticism of Saied.","Demand the release of imprisoned journalists, activists, and opposition members and that a date be set for fair presidential elections.",>100,Opposition; general public,Two weeks,"No policy/leadership change in response to protest. Hundreds of Saied's supporters protested in Tunis on May 18, 2024, to denounce what they say is foreign influence driving the anti-government protests. In July 2024, Saied announced his candidacy for the upcoming presidential elections.",Hundreds,Tunis,0,0,X,0,0,0,X,0,0,"10000,00%"
Tunisia,Anti-immigration protests,24-May,Partly free,"Migrants from southern Africa hoping to reach Europe by boat have used the coastal towns of Tunisia as launching pads and pitched encampments in El Amra and Jebeniana, disrupting agricultural production.",Demand the government take action to assist agricultural communities dealing with thousands of migrants living in encampments along their olive groves. Express opposition to settling migrants in Tunisia.,>100,Coastal Tunisians; residents of El Amra and Jebeniana; agricultural workers,1 day,No policy/leadership change in response to protest.,Hundreds,Tunis,0,X,X,0,0,0,0,0,0,"10000,00%"
Mexico,Anti-AMLO protest,24-May,Partly free,"President Andrés Manuel López Obrador (AMLO) has called to defund the country's independent electoral agencies ahead of the presidential election on June 2, 2024.","Oppose AMLO and former Mexico City mayor Claudia Sheinbaum, the candidate running for president under AMLO's Morena party. Express support for opposition candidate Xóchitl Gálvez. Call for the defense of the country's independent electoral agencies.",">10,000",Opposition supporters,1 day,No policy/leadership change in response to protest.,Tens of thousands,Mexico City,0,0,X,0,0,0,0,0,0,"1000,00%"
Indonesia,Protest for media freedom,24-May,Partly free,"A new broadcasting law restricts broadcasting of journalistic investigations, content portraying LGBTQ+ ""behavior,"" and content that shows ""negative behaviors or lifestyles that could potentially be imitated by the public.""","Journalists and members of the media protested against what they said was a suppression of ""creativity, press freedom, and expression."" They opposed efforts by the government to restrict broadcasting and dictate journalistic ethics.",>100,Journalists,1 day,No policy/leadership change in response to protest.,Hundreds,Jakarta,X,0,X,0,0,0,0,0,0,"10000,00%"
Iran,Protest for education reform,24-Apr,Not free,Teachers say the education sector needs to be dramatically reformed. They also claim they face discriminatory and oppressive treatment by authorities.,"Demand the immediate release of all jailed educators, the provision of free education for all, the abolition of gender discrimination in education policies, and an end to the government's repression of provocative teachers.",">1,000",Teachers; Iranian Teachers' Union's Coordination Council,1 week,No policy/leadership change in response to protest. Multiple teachers have been arrested at demonstrations in Tehran.,Thousands,Tehran,0,0,X,0,0,0,X,0,0,"100,00%"
Bosnia and Herzegovina,Protest against UN Srebrenica genocide resolution,24-Apr,Partly free,"The United Nations is debating a resolution to commemorate the Srebrenica genocide—when 8,000 Muslims were killed in Srebrenica in 1995 by Bosnian Serb forces—and will vote on this resolution in the General Assembly in May 2024. Bosnian Serb lawmakers adopted a report denying that the killings constituted genocide.",Protest against the United Nations moving to commemorate the tragedy and recognize it as a genocide.,">1,000",Serbs,1 day in April 2024; 1 day in May 2024,"No policy or leadership change in response to the protests. In May 2024, the United Nations voted to approve the resolute to commemorate the 1995 Srebrenica genocide, leading to additional protests in Belgrade on May 23, 2024.",Thousands,Sarajevo,0,0,X,0,0,0,0,0,0,"100,00%"
Spain,Catalan separatist amnesty protest,23-Oct,Free,The socialists are backing an unpopular mass pardon of hundreds of Catalan separatists in a bid to gain the backing of the region's parties.,Oppose amnesty deal which they say subverts the judiciary and prioritizes forming a government at the cost of democracy and the rule of law.,170,"Anti-separatists, Societat Civil Catalana, Vox.",8 months,"No policy/leadership change in response to protests. Prime Minister Pedro Sánchez extended amnesty to Catalan separatists and in return received their political support, which allowed him to remain in office. Parliament voted against the amnesty bill for Catalan separatists in January 2024. On May 30, 2024, parliament voted to approve legislation granting amnesty to Catalan separatists.",Hundreds of thousands,Madrid,0,0,X,0,0,X,0,X,0,"17000,00%"
Spain,Protests against mass tourism to Spain,24-Apr,Free,Growing environmental and economic harm caused by over-tourism.,"Protest Spain's tourism policies. Demand the authorities reduce the rate of tourism to the country, introduce policies to help the environment, and address the massive housing crisis caused by gentrification and vacation rentals.",">57,000",General public,Active,"In July 2024, the Spanish government announced that it would crack down on short-term and holiday rental homes and investigate listings on platforms such as Airbnb and Booking.com for licenses.",Tens of thousands,Madrid,X,X,X,0,0,0,0,0,0,"5700,00%"
New Zealand,Māori rights protest,23-Dec,Free,"The new center-right coalition government has reversed policies which gave prominence to the Māori language, claiming these policies afford preferential treatment on the basis of race. The government also shuttered the Māori Health Authority, which was established to address health inequity. The government also said it will introduce, though it is not committed to passing, a new bill that would reinterpret the Treaty of Waitangi, the founding document that established British and Māori governance of New Zealand.",Promote Māori rights and protections.,">1,000",Māori,1 day in December 2023; recurring since February 2024,No policy/leadership change in response to protest.,Thousands,Wellington,X,0,X,0,0,0,0,X,0,"100,00%"
South Korea,Trucker strike and protest,22-nov.,Free,Talks between the government and the truckers union failed to resolve disputes over pay.,Anger with insufficient pay for truckers.,7,Truckers.,9 months,No policy/leadership change in response to protests.,Thousands,Seoul,0,X,X,0,0,0,0,X,0,"700,00%"
Pakistan,Electricity price protests,23-Aug,Partly Free,Pakistani people started receiving higher electricity bills because Pakistan had agreed to levy an electricity tariff as part of an IMF bailout,Anger over the jump in electricity prices amid already high inflation and other economic woes.,">1,000",General public,Active,"In 2023, Interim Prime Minister Anwaar ul Haq Kakar held an emergency ministers’ meeting, during which he directed authorities to take “concrete steps” within forty-eight hours to cut electricity bills. The new government under Prime Minister Shehbaz Sharif, however, further raised the electricity prices and added additional taxes to the increased prices.",Thousands,Islamabad,X,X,0,0,0,0,X,X,0,"100,00%"
Guatemala,Presidential candidate ban protests,23-Feb,Partly free,A court denied an indigenous candidate's application to register for the country's presidential election due to a dispute over the paperwork that her vice presidential candidate filed.,Anger over percieved unfairness of the country's electoral tribunal.,">1,000",Supporters of the Peoples Liberation Movement party.,11 months,No policy/leadership change in response to protests.,Thousands,Guatemala City,0,0,X,0,0,0,0,0,0,"100,00%"
Argentina,Protest against cuts to higher education budget,24-Apr,Free,"President Javier Milei has implemented a number of spending cuts that have led to mass layoffs, including cuts to fuel and transportation subsidies. Milei has now cut the budget of public universities.","Demand that Milei increase funding for higher education, which is largely dependent upon government subsidies. Protesters believe that the budget cuts threaten not only the livelihoods of university faculty, but also the sustainability of the public education system.",">100,000","General public, university students and teachers",1 day in April 2024; active since October 2024,"No policy/leadership change in response to protests. On October 3, Milei vetoed a law passed by Congress that would have increased funding for universities, sparking another wave of protests.",Hundreds of thousands,Buenos Aires,X,X,X,0,0,X,0,0,0,"10000,00%"
Russia,Protest for Ural flood relief,24-Apr,Not free,"A dam broke in the southwestern Ural region, flooding over 10,000 homes. The regional government is providing monthly payments of about $100 to flood victims for the next six months, which protesters say is insufficient.","Residents demanded compensation for the flooding of their homes. Protesters chanted ""Putin help us"" and labeled the government a ""shame"" for not providing adequate financial support.",>100,Ural region  residents,1 day,No policy or leadership change in response to the protests.,Hundreds,Moscow,0,X,X,0,0,0,0,0,0,"10000,00%"
Benin,Cost of living protests,24-Apr,Partly free,"Prices of staple crops such as corn, garri flour, beans, and cowpeas have risen in recent months. The IMF reported in April 2024 that incomes in sub-Saharan Africa are falling further behind the rest of the world amid tepid economic growth.",Demand government assistance to help residents facing rising costs.,>100,Trade unions,1 day,No policy or leadership change in response to the protests.,Hundreds,Porto-Novo,0,X,0,0,0,0,0,0,0,"10000,00%"
Mexico,Ayotzinapa students' protest for justice,24-Apr,Partly free,"In 2014, forty-three male students at a teachers' college in Iguala, Guerrero, were kidnapped and—as later revealed—killed after they commandeered buses for an annual drive to Mexico City to mark the 1968 Tlatelolco massacre. A 2022 truth commission concluded that the disappearance was a ""state crime"" which involved local, state, and federal authorities. Another student was killed in March 2024 during a confrontation with police. The police officers responsible for that student's death are under investigation.",Demand justice for the forty-three students kidnapped in 2014 and accountability for their slain classmates.,>100,Students at the Ayotzinapa teachers' college,1 day,No policy or leadership change in response to the protests.,Hundreds,Mexico City,0,0,X,0,0,0,0,0,0,"10000,00%"
Brazil,Free Land Camp protest against grain railway,24-Apr,Free,"The government plans to build a railway to transport grain from farm states to Amazon ports for export, which members of the Indigenous community say will destroy the environment of tribal communities. This coincided with the week-long twentieth annual Free Land Camp, in which indigenous communities enact encampments in Brasilia as a form of protest against government wrongdoings.",Protest against the proposed railroad. Criticize President Luiz Inácio Lula da Silva for not fulfilling his promises to officially recognize Indigenous reservations and expel illegal miners and land-grabbers from their territory.,">1,000",Indigenous community,1 week,No policy or leadership change in response to the protests.,Thousands,Brasilia,0,X,X,0,0,0,0,0,0,"100,00%"
Pakistan,2024 election protests,Feb-24,Partly free,"Imran Khan's Pakistan Tehreek-e Insaf (PTI) party won a plurality of seats in the February 8 parliamentary elections, but two rival parties—Nawaz Sharif’s Pakistan Muslim League-Nawaz and Bilawal Bhutto Zardari’s Pakistan People’s Party—are working to reach an agreement to form a coalition government. Khan could not run in the election due to criminal convictions against him, which he claims are politically motivated.",Protesters from Khan's party say the election results were manipulated—though the Election Commission of Pakistan denies these allegations.,">1,000","PTI supporters, PTI officials",1 month,"No policy/leadership change in response to protests. Despite protests, the new parliament swore in on February 29, 2024.",Thousands,Islamabad,0,0,X,0,0,0,X,0,0,"100,00%"
Cuba,Food and power shortages protests,mar.-24,Not free,The country is experiencing power cuts and shortages of food and medicine. There has also been a decline in living conditions on par with that following the collapse of the Soviet Union.,Express discontent with the government due to its inability to provide services for its citizenry. Protesters also called for an end to communism and for President Miguel Díaz-Canel's resignation.,>100,General public,2 days,No policy/leadership change in response to protests.,Hundreds,Havana,0,X,X,0,0,0,0,0,0,"10000,00%"
Germany,Anti-AfD protest,24-jan.,Free,Reports that a group of officials from the Alternative for Germany (AfD) party met with neo-Nazis at a hotel in Potsdam to discuss the possibility of a mass deportation scheme. Holocaust Memorial Day. Regional elections. The AfD is polling in second place in Germany for the June 2024 European Parliament elections.,Denounce the AfD and Nazism.,">2,400,000",General public,6 months; 1 week in August 2024,"No policy/leadership change in response to the protests. The AfD lost a runoff election in the Saale-Orla district of Thuringia on January 28, 2024. In the June 2024 elections, the AfD won the second-highest number of seats in the EU. In September 2024, the AfD earned nearly one-third of the votes in Thuringia's state election and became the largest party in the state parliament.",Millions,Berlin,0,0,X,0,0,X,0,X,0,"2,400,000"
Senegal,Election delay protests,Feb-24,Partly free,"President Macky Sall abruptly postponed elections scheduled for February 2024 until December 2024.  This was done after police expelled opposition members from the National Assembly, prohibiting them from voting against the postponement of the election, which passed by a vote of 105 to 1.",Denounce what is seen by many as an institutional coup initiated by an unpopular president in an attempt to stay in power.,">1,000","General public, opposition",1 month,"On February 15, 2024, Senegal's Constitutional Council ruled that the election delay was unlawful. The election was held on March 24, 2024, and won by opposition candidate Bassirou Diomaye Faye.",Thousands,Dakar,0,0,X,0,X,0,X,0,0,"100,00%"
Israel,Anti-Netanyahu protests,24-jan.,Free,"Ongoing Israel-Hamas war, which some Israelis assert Prime Minister Benjamin Netanyahu is mishandling.","Demand a change of government and the ousting of Netanyahu. In late March 2024, protests intensified as demonstrators called for immediate elections and for a ceasefire deal to secure the release of hostages held by Hamas in Gaza.",">10,000",General public,Active,No policy/leadership change in response to the protests.,Tens of thousands,Jerusalem,X,0,X,0,0,0,X,X,0,"1000,00%"
Finland,Labor law change protest,23-Dec,Free,"Prime Minister Petteri Orpo, described as pro-business, sought to make the country's terms of employment more flexible and cut unemployment.","Public transportation workers, manufacturing workers, and their unions went on a twenty-four-hour strike in December 2023 in protest of the law changes. This was followed by weeks-long strikes beginning in February 2024.",">100,000","Public transit workers, unions",1 day in December 2023; active February 2024 through April 2024,"No policy/leadership change in response to protest. The protesters suspended the March 2024 strike in early April 2024, in hopes that the suspension will lead to negotiations with the government.",Hundreds of thousands,Helsinki,0,X,0,0,0,X,0,0,0,"10000,00%"
Poland,Farmers' protest 2024,jan.-24,Free,"The EU waived duties and quotas for imports from Ukraine, which put pressure on prices for EU farmers, who must follow EU environmental standards. Ongoing negotiations for a trade deal between the EU and the South American Mercosur bloc. New EU environmental regulations, including new subsidy rules which require 4 percent of farmland to be fallow.","Protest against EU environmental regulations and cheap food imports, specifically from Ukraine.",">10,000",Farmers,4 months,"Prime Minister Donald Tusk said on February 27, 2024, that he could not rule out widening a national ban on Ukrainian grain imports if the EU does not act to protect the EU market. Tusk and President Andrzej Duda also spoke to protesters in Prague, where they said the EU must implement policy changes to protect EU farmers.  On March 15, the EU proposed legislation which, if passed, will ease the environmental rules of the Common Agricultural Policy. The Polish government plans to pay $522 million in subsidies to farmers to compensate them for low market prices for grain.",Tens of thousands,Warsaw,0,X,X,0,X,0,0,X,0,"1000,00%"
Israel,Protest against ultra-Orthodox conscription,mar.-24,Free,"The government announced on March 28, 2024, that it had not agreed on an extension to exempt ultra-Orthodox Jews from conscription, after the Supreme Court ruled that such exemptions were discriminatory. The court gave the government until April 1 to agree on an extension. Failing to meet this deadline, the Supreme Court instructed the government to suspend special education subsidies to those who fail to answer military call-ups.","Protest against the suspension of education subsidies, which members of the ultra-Orthodox community feel will be fatal to the finances of their education system. Protesters say this jeopardizes their faith, which they say is maintained through seminary education. Demonstrators also express concerns that this is the first step toward mandatory military service for the ultra-Orthodox community.",>100,Ultra-Orthodox community,1 month,No policy/leadership change in response to protests. Members of the ultra-Orthodox community have volunteered to serve in the IDF in an effort to lessen the need for conscription.,Hundreds,Jerusalem,0,0,X,0,0,0,0,0,0,"10000,00%"
Colombia,Anti-Petro protests,mar.-24,Free,"Leftist Gustavo Petro was elected in 2022 on the promise to fight poverty and inequality and end Colombia's six decades of domestic conflict which has killed 450,000. Petro is struggling to maintain his governing coalition in Congress and his approval rating has declined amid an uptick in violence by rebels. He has proposed legislation to reform Colombia's healthcare system and turn a government agency into the sole administrator of insurance payouts, thereby sidelining private companies which make up a sizeable portion of insurance providers. Petro is also pushing a change to labor law to make it harder to hire workers on temporary contracts and require additional compensation for any work conducted after 6 p.m.","Protest political, economic, and social reforms backed by Petro, and demand action against deteriorating security situation. Express concerns with reforms to healthcare and labor laws which demonstrators say will set the country back decades.",">70,000",General public,1 month,No policy/leadership change in response to protests.,Tens of thousands,Bogotá,0,X,X,0,0,0,0,0,0,"7000,00%"
Peru,Dina is a murderer protest,24-jan.,Partly free,"President Dina Boluarte visited the southern region of Ayacucho, where ten people were killed in anti-government protests in 2022.",Denounce Boluarte's visit to the region and demand accountability.,>100,General public,1 day,No policy/leadership change in response to the protests. Protests continue as Boluarte faces a corruption probe.,Hundreds,Lima,0,0,X,0,0,0,0,0,0,"10000,00%"
India,Protests to protect democracy,23-Dec,Partly free,"India has become increasingly autocratic under Prime Minister Narendra Modi, who has gone after the opposition on multiple occasions and suspended over a hundred opposition members of Parliament. Opposition leaders have faced arrests and investigation by federal agencies in the lead up to the 2024 election. They accuse Modi of election interference and using state agencies to further his political agenda.","Suspended opposition MPs expressed fear that India's democracy is in danger ahead of 2024 elections. On March 31, 2024, tens of thousands joined a ""Save Democracy"" rally organized by the Indian National Developmental Inclusive Alliance (INDIA) to call for free and fair elections and denounce harassment of the opposition.",">10,000",Opposition MPs; INDIA,1 day in 2023; 1 week in March 2023,No policy/leadership change in response to protest.,Tens of thousands,New Delhi,0,0,X,0,0,0,0,0,0,"1000,00%"
Kenya,End Femicide Now protest,24-jan.,Partly free,Recent rise in violence against women and femicide. At least 500 women have been killed in acts of femicide since 2016.,Demand an end to sexual and gender-based violence.,">1,000",Women,3 months,"No policy/leadership change in response to the protests other than the Directorate of Criminal Investigations rolling out new regulations requiring short-term rental properties to register with the Tourism Regulatory Authority, as two recent femicides occurred in unregistered short-term rentals.",Thousands,Nairobi,0,0,0,0,0,0,0,0,0,"100,00%"
Russia,Protest by soldiers' loved ones,23-nov.,Not free,Partial mobilization of Russian troops in September 2022 to fight in Ukraine.,Wives and loved ones of mobilized soldiers gathered in Moscow to demand their loved ones be either rotated out of Ukraine or fully demobilized.,>100,"Women, family of soldiers",4 months,"The government has repeatedly shut down these protests, but the movement remains active and has produced a manifesto calling for a one-year maximum term for conscription. Russia detained about twenty journalists, including a video journalist from Reuters, who were covering protests in February 2024, but they were released after several hours.",Hundreds,Moscow,0,0,X,0,0,0,0,X,0,"10000,00%"
Greece,Higher education reform protest,24-jan.,Free,Prime Minister Kyriakos Mitsotakis is expected to submit a bill to parliament which will permit private universities to operate in Greece.,"Oppose the decision to permit private universities to operate in Greece, claiming it will harm the public education system and devalue degrees from public universities.",">1,000",Students,3 months,"No policy/leadership change in response to the protests. In March 2024, Greek lawmakers approved a bill to end the state's monopoly on university education.",Thousands,Athens,0,X,X,0,0,0,X,0,0,"100,00%"
